Issuer Name,Issuer location,,Issuer sector,Bond type,Bonds per type,Amount issued (USD bn.),Lastest External Review Form,"External  Reviewer
",Latest External Review Report
BANCO COMERCIAL PORTUGUES S.A.,Portugal,,Financials - Banking,Social,1,0.58bn,May-21,Sustainalytics,May-21
BANCO CONTINENTAL S.A.E.C.A.,Paraguay,,Financials - Banking,Sustainability,2,0.30bn,Mar-20,Sustainalytics,Mar-20
BANCO DAVIVIENDA S.A.,Colombia,,Financials - Banking,Green,1,0.15bn,Oct-18,,
BANCO DE BOGOTA S.A.,Colombia,,Financials - Banking,Green,2,0.08bn,Oct-20,EY,Sep-20
BANCO DE CREDITO DEL PERU,Peru,,Financials - Banking,Green,1,0.03bn,,S&P,Jan-22
BANCO DE CREDITO E INVERSIONES,Chile,,Financials - Banking,Green,6,0.35bn,,S&P,Aug-21
BANCO DE CREDITO SOCIAL COOPERATIVO SA,Spain,,Financials - Banking,Social,1,0.50bn,,Vigeo Eiris,Dec-21
BANCO DE LAS MICROFINANZAS - BANCAMIA SA,Colombia,,Financials - Banking,Social,1,0.03bn,,Vigeo Eiris,Apr-21
BANCO DE SABADELL SA,Spain,,Financials - Banking,Green,7,3.12bn,Jun-20,Sustainalytics,Jun-20
BANCO DEL ESTADO DE CHILE,Chile,,Financials - Banking,Social,3,0.43bn,Jan-18,Sustainalytics,Jan-18
BANCO DO BRASIL S.A.,Brazil,,Financials - Banking,Social,2,0.50bn,Dec-21,Sustainalytics,Dec-21
BANCO DO BRASIL S.A.,Brazil,,Financials - Banking,Sustainability,2,0.75bn,Dec-21,Sustainalytics,Dec-21
BANCO NACIONAL DE COMERCIO EXTERIOR SNC/CAYMAN ISLANDS,Cayman Islands,,SSA - Quasi-sovereigns,Sustainability,2,0.50bn,,ISS-Oekom,Jul-21
BANCO NACIONAL DE COMMERCIO EXTERIOR,Mexico,,SSA - Quasi-sovereigns,Sustainability,5,1.04bn,,ISS-Oekom,Jul-21
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL,Brazil,,SSA - Quasi-sovereigns,Green,2,1.00bn,Apr-17,Sustainalytics,Apr-17
BANCO NACIONAL DE OBRAS Y SERVICIOS PUBLICOS SNC,Mexico,,SSA - Quasi-sovereigns,Sustainability,11,1.26bn,Aug-22,Sustainalytics,Sep-22
"BANCO PROMERICA, COSTA RICA",Costa Rica,,Financials - Banking,Sustainability,2,0.02bn,,Vigeo Eiris,Jan-20
BANCO SANTANDER CHILE,Chile,,Financials - Banking,Social,2,0.15bn,,Vigeo Eiris,May-20
BANCO SANTANDER S.A.,Spain,,Financials - Banking,Green,3,3.43bn,,Vigeo Eiris,May-20
BANCOLOMBIA SA,Colombia,,Financials - Banking,Green,1,0.05bn,Mar-18,Vigeo Eiris,Aug-21
BANCOLOMBIA SA,Colombia,,Financials - Banking,Sustainability,4,0.38bn,Jul-19,Vigeo Eiris,Aug-21
BANE NOR EIENDOM AS,Norway,,Financials - Real estate,Green,5,0.33bn,,Cicero,Jun-20
BANGKOK EXPRESSWAY & METRO PCL,Thailand,,Corporate - Industrials,Sustainability,8,0.31bn,Feb-22,DNV GL,Feb-22
BANGKOK MASS TRANSIT SYSTEM PCL,Thailand,,Corporate - Industrials,Green,4,0.31bn,Sep-21,Sustainalytics,Oct-21
BANK AUSTRALIA LTD,Australia,,Financials - Banking,Sustainability,2,0.26bn,Aug-21,Sustainalytics,Aug-21
BANK FOR AGRICULTURE AND AGRICULTURAL COOPERATIVES (BAAC),Thailand,,SSA - Quasi-sovereigns,Green,2,0.19bn,,EY,Jul-20
BANK HAPOALIM BM,Israel,,Financials - Banking,Green,1,1.00bn,,S&P,Oct-21
BANK LEUMI LE-ISRAEL BM,Israel,,Financials - Banking,Green,1,0.50bn,,S&P,Jan-23
BANK MANDIRI PERSERO TBK PT,Indonesia,,Financials - Banking,Sustainability,1,0.30bn,Mar-21,Sustainalytics,Mar-21
BANK OF AMERICA CORPORATION,United States,,Financials - Banking,Green,1,2.00bn,,,
BANK OF AMERICA CORPORATION,United States,,Financials - Banking,Social,1,1.00bn,,,
BANK OF AMERICA CORPORATION,United States,,Financials - Banking,Sustainability,3,6.00bn,Sep-20,S&P,Nov-21
BANK OF ASIA,Kyrgyzstan,,Financials - Banking,Social,1,0.00bn,,Other,Sep-22
BANK OF CHINA,China (mainland),,Financials - Banking,Green,7,3.65bn,Apr-22,EY,Apr-22
BANK OF CHINA,China (mainland),,Financials - Banking,Sustainability Linked Bonds,1,0.30bn,,EY,Oct-21
BANK OF CHINA (HONG KONG) LIMITED,China (Hong Kong),,Financials - Banking,Green,2,0.49bn,,EY,Feb-22
BANK OF CHINA (HONG KONG) LIMITED,China (Hong Kong),,Financials - Banking,Sustainability,1,0.14bn,,EY,Mar-23
BANK OF CHINA LTD/FRANKFURT,Germany,,Financials - Banking,Green,1,0.50bn,,Other,Jun-22
BANK OF CHINA LTD/HUNGARY,China (mainland),,Financials - Banking,Green,1,0.30bn,,EY,Feb-22
BANK OF CHINA LTD/JOHANNESBURG,China (mainland),,Financials - Banking,Green,1,0.30bn,,EY,Feb-22
BANK OF CHINA LTD/MACAU,China (mainland),,Financials - Banking,Green,3,1.28bn,,EY,Apr-22
BANK OF CHINA LTD/PARIS,China (mainland),,Financials - Banking,Green,1,0.40bn,,Other,Nov-22
BANK OF CHINA LTD/SYDNEY,Australia,,Financials - Banking,Green,1,0.30bn,,,
BANK OF CHINA LTD/SYDNEY,Australia,,Financials - Banking,Sustainability,1,0.40bn,,EY,Feb-22
BANK OF GUIYANG CO LTD,China (mainland),,Financials - Banking,Green,1,0.44bn,,Other,Feb-23
BANK OF HANGZHOU CO LTD,China (mainland),,Financials - Banking,Green,1,1.57bn,,Other,Mar-22
BANK OF IRELAND GROUP PLC,Ireland,,Financials - Banking,Green,6,3.64bn,Mar-21,Sustainalytics,Mar-21
BANK OF MONTREAL,Canada,,Financials - Banking,Social,1,0.60bn,Sep-19,Sustainalytics,Sep-19
BANK OF NAGOYA LTD/THE,Japan,,Financials - Banking,Green,1,0.09bn,Nov-19,Sustainalytics,Nov-19
BANK OF NOVA SCOTIA (THE),Canada,,Financials - Banking,Sustainability,1,1.00bn,Jun-21,Sustainalytics,Jun-21
BANK OF TAIWAN,Taiwan,,Financials - Banking,Green,1,0.04bn,,KPMG,Aug-21
BANK OF THE PHILIPPINE ISLANDS,Philippines,,Financials - Banking,Green,1,0.30bn,May-19,Sustainalytics,May-19
BANK PEMBANGUNAN MALAYSIA BHD,Malaysia,,Financials - Banking,Sustainability,1,0.11bn,,Other,Sep-21
BANK PERUSAHAAN KECIL & SEDERHANA MALAYSIA BHD - SME BANK,Malaysia,,Financials - Banking,Sustainability,1,0.12bn,,Other,Jun-21
BANK RAKYAT INDONESIA PERSERO TBK PT,Indonesia,,Financials - Banking,Green,3,0.33bn,,,
BANK RAKYAT INDONESIA PERSERO TBK PT,Indonesia,,Financials - Banking,Sustainability,1,0.50bn,Mar-19,Sustainalytics,Mar-19
BANK SINOPAC CO LTD/TAIWAN,Taiwan,,Financials - Banking,Green,2,0.14bn,,,
BANK SINOPAC CO LTD/TAIWAN,Taiwan,,Financials - Banking,Social,1,0.04bn,,,
BANK SINOPAC CO LTD/TAIWAN,Taiwan,,Financials - Banking,Sustainability,1,0.03bn,,,
BANK WINDHOEK LTD,Namibia,,Financials - Banking,Sustainability,1,0.02bn,,,
BANKINTER SA,Spain,,Financials - Banking,Green,1,0.83bn,Nov-19,Sustainalytics,Nov-19
BANQUE FEDERATIVE DU CREDIT MUTUEL,France,,Financials - Banking,Green,2,1.77bn,Aug-20,Vigeo Eiris,Jul-20
BANQUE FEDERATIVE DU CREDIT MUTUEL,France,,Financials - Banking,Social,1,0.77bn,,Moody's,Jun-22
BANQUE INTERNATIONALE A LUXEMBOURG S.A.,Luxembourg,,Financials - Banking,Green,5,0.13bn,Apr-22,Sustainalytics,Apr-22
BANQUE OUEST AFRICAINE DE DEVELOPPEMENT (BOAD),Supranationals,,SSA - Supranationals,Sustainability,2,0.91bn,,Vigeo Eiris,Dec-20
BAOSHAN IRON & STEEL CO LTD,China (mainland),,Corporate - Materials,Sustainability Linked Bonds,1,0.77bn,,Other,Jan-21
BARCLAYS BANK PLC,United Kingdom,,Financials - Banking,Green,6,0.11bn,Jul-21,Climate Bonds Initiative Certified,Nov-21
BARCLAYS PLC,United Kingdom,,Financials - Banking,Green,2,1.10bn,,Climate Bonds Initiative Certified,Oct-20
BARLOWORLD UK LIMITED,United Kingdom,,Corporate - Industrials,Sustainability Linked Bonds,2,0.07bn,,Other,Aug-22
BAROMFI-COOP TERMELO ES KERESKEDELMI KFT,Hungary,,Corporate - Consumer Staples,Green,1,0.08bn,Jul-21,Other,Jul-21
BASF SE,Germany,,Corporate - Materials,Green,2,2.20bn,,ISS-Oekom,May-20
BASLER KANTONALBANK,Switzerland,,Financials - Banking,Social,1,0.12bn,,ISS-Oekom,Aug-22
BASQUE GOVERNMENT,Spain,,SSA - Quasi-sovereigns,Sustainability,7,5.01bn,Mar-21,Sustainalytics,Mar-21
BAWAG PSK BANK FÜR ARBEIT UND WIRTSCHAFT UND ÖSTERREICHISCHE POSTSPARKASSE,Austria,,Financials - Banking,Green,4,1.43bn,Jul-21,Sustainalytics,Jul-21
BAYERISCHE LANDESBANK,Germany,,Financials - Banking,Green,32,4.61bn,,ISS-Oekom,May-22
BAYERISCHE LANDESBODENKREDITANSTALT,Germany,,SSA - Quasi-sovereigns,Social,2,1.19bn,,ISS-Oekom,Mar-21
BAYFRONT INFRASTRUCTURE CAPITAL II PTE LTD,Singapore,,Financials - Financial services,Sustainability,1,0.12bn,,DNV GL,Jun-21
BAYPORT MANAGEMENT LTD,Mauritius,,Financials - Financial services,Social,2,0.30bn,May-19,Sustainalytics,May-19
BAYWA AKTIENGESELLSCHAFT,Germany,,Corporate - Consumer Staples,Green,1,0.56bn,,ISS-Oekom,May-19
BAZALGETTE FINANCE PLC,United Kingdom,,Corporate - Utilities,Green,18,2.41bn,,Other,Jul-19
BBVA BANCOMER S.A.,Mexico,,Financials - Banking,Green,1,0.49bn,,S&P,Jun-22
BBVA GLOBAL MARKETS B.V.,Netherlands,,Financials - Financial services,Green,1,0.04bn,,DNV GL,Apr-18
BC CARD CO LTD,Korea,,Financials - Consumer Finance,Sustainability,1,0.03bn,,Other,Apr-21
BCI QUADREAL REALTY,Canada,,Financials - Real estate,Green,3,0.89bn,Jul-20,Sustainalytics,Jul-20
BCP V MODULAR SERVICES FINANCE PLC,United Kingdom,,Corporate - Industrials,Sustainability Linked Bonds,6,1.71bn,,ISS-Oekom,Oct-21
BCPG PCL,Thailand,,Corporate - Energy,Green,5,0.37bn,Sep-21,DNV GL,Sep-21
BDO UNIBANK INC,Philippines,,Financials - Banking,Sustainability,1,1.04bn,Dec-20,Sustainalytics,Dec-20
BEIJING ENERGY HOLDING CO LTD,Bermuda,,Corporate - Utilities,Sustainability Linked Bonds,1,0.00bn,,Other,Dec-21
BEIJING ENTERPRISES WATER (CHINA) INVESTMENT LIMITED,China (Hong Kong),,Corporate - Utilities,Green,1,0.42bn,,Other,Jul-16
BEIJING ENVIRONMENT BVI CO LTD,Virgin Islands,,Corporate - Industrials,Green,1,0.23bn,,S&P,Sep-21
BEIJING GAS SINGAPORE CAPITAL CORP,China (mainland),,Corporate - Utilities,Green,1,0.50bn,,Vigeo Eiris,Sep-20
BELFIUS BANK SA/NV,Belgium,,Financials - Banking,Green,1,0.61bn,May-21,Sustainalytics,May-21
BELGIUM (THE KINGDOM OF),Belgium,,SSA - Sovereigns,Green,2,17.41bn,Feb-18,Moody's,Jun-22
BELL CANADA,Canada,,Corporate - Communications,Sustainability,1,0.41bn,Apr-21,Sustainalytics,Apr-21
BENCHMARK HOLDINGS PLC,United Kingdom,,Corporate - Health Care,Green,1,0.07bn,,Cicero,Sep-22
BENIN GOVERNMENT INTERNATIONAL BOND,Benin,,SSA - Sovereigns,Sustainability,2,0.59bn,,Vigeo Eiris,Jul-21
BERKELEY GROUP PLC/THE,United Kingdom,,Corporate - Consumer Discretionary,Green,1,0.56bn,,DNV GL,Jul-21
BERKSHIRE HILLS BANCORP INC,United States,,Financials - Banking,Sustainability,1,0.10bn,Jun-22,Sustainalytics,Jun-22
BERLIN HYP AG,Germany,,Financials - Consumer Finance,Green,23,9.85bn,,ISS-Oekom,Mar-23
BERLIN HYP AG,Germany,,Financials - Consumer Finance,Social,2,1.32bn,,ISS-Oekom,Apr-22
BERLIN HYP AG,Germany,,Financials - Consumer Finance,Sustainability Linked Bonds,1,0.59bn,,Sustainalytics,Feb-21
BESQAB AB,Sweden,,Corporate - Consumer Discretionary,Green,1,0.09bn,Apr-21,Cicero,Apr-21
BEWI ASA,Norway,,Corporate - Materials,Sustainability Linked Bonds,1,0.29bn,,Sustainalytics,Aug-21
BEYOND HOUSING LTD,United Kingdom,,Financials - Real estate,Sustainability,1,0.35bn,,ISS-Oekom,May-21
BIGGEORGE PROPERTY ZARTKOERUEN MUKOEDO RESZVENYTARSASAG,Hungary,,Financials - Real estate,Green,1,0.02bn,,ISS-Oekom,Nov-21
BILIBILI INC,Cayman Islands,,Corporate - Technology,Sustainability,1,1.60bn,Nov-21,Sustainalytics,Nov-21
BIM LAND JSC,Vietnam,,Financials - Real estate,Green,1,0.20bn,,,
BIOGAS SARDEGNA GREEN,Italy,,Corporate - Energy,Green,3,0.01bn,,Other,Jul-21
BIOTECH LISTINGS LTD,United Kingdom,,Financials - Financial services,Green,1,0.02bn,,ISS-Oekom,May-22
BKS BANK AG,Austria,,Financials - Banking,Green,7,0.03bn,,Other,Feb-23
BKS BANK AG,Austria,,Financials - Banking,Sustainability,1,0.00bn,,Other,Aug-22
BKW AG,Switzerland,,Corporate - Utilities,Green,2,0.31bn,,ISS-Oekom,Apr-22
BLACKSTONE PROPERTY PARTNERS EUROPE HOLDINGS SARL,Luxembourg,,Financials - Real estate,Green,1,0.58bn,Mar-21,Sustainalytics,Mar-21
BLEND FUNDING PLC,United Kingdom,,Financials - Real estate,Social,11,2.26bn,,Vigeo Eiris,Aug-21
BLOOM ENERGY CORP,United States,,Corporate - Industrials,Green,2,0.46bn,Sep-20,Sustainalytics,Sep-20
BLUEHUB LOAN FUND INC,United States,,Financials - Consumer Finance,Sustainability,2,0.08bn,Dec-19,Sustainalytics,Dec-19
BLUEPLANET INVESTMENTS AG,Germany,,Financials - Financial services,Green,1,0.02bn,Oct-22,Other,Feb-21
BN BANK ASA,Norway,,Financials - Banking,Green,1,0.05bn,May-22,Sustainalytics,May-22
BNG BANK NV,Netherlands,,SSA - Quasi-sovereigns,Green,2,0.06bn,,Sustainalytics,Oct-15
BNG BANK NV,Netherlands,,SSA - Quasi-sovereigns,Social,1,1.11bn,,Sustainalytics,Jun-16
BNG BANK NV,Netherlands,,SSA - Quasi-sovereigns,Sustainability,20,19.80bn,Nov-20,ISS-Oekom,Nov-21
BNK CAPITAL CO LTD,India,,Financials - Commercial Finance,Green,1,0.02bn,,Other,Apr-23
BNK CAPITAL CO LTD,India,,Financials - Commercial Finance,Social,1,0.03bn,,Other,Sep-22
BNP PARIBAS,France,,Financials - Banking,Green,34,8.61bn,,ISS-Oekom,Apr-21
BNP PARIBAS ISSUANCE BV,Netherlands,,Financials - Banking,Social,3,0.17bn,Sep-22,EY,Sep-22
BNP PARIBAS SA/TAIPEI,France,,Financials - Banking,Green,5,0.20bn,Nov-16,Deloitte,Jan-23
BOCOM LEASING MANAGEMENT HONG KONG CO LTD,China (Hong Kong),,Financials - Commercial Finance,Sustainability,1,0.50bn,,Vigeo Eiris,May-21
BOGOTA DISTRITO CAPITAL,Colombia,,SSA - Quasi-sovereigns,Social,2,0.03bn,,Deloitte,Nov-21
BOLIDEN AB,Sweden,,Corporate - Materials,Green,5,0.34bn,,Cicero,May-22
BONAVA AB,Sweden,,Corporate - Consumer Discretionary,Green,1,0.14bn,Feb-20,Sustainalytics,Feb-20
BONHEUR ASA,Norway,,Corporate - Industrials,Green,2,0.16bn,,DNV GL,Sep-20
BONNIER FASTIGHETER FINANS PUBL AB,Sweden,,Financials - Real estate,Green,3,0.23bn,,Cicero,Apr-21
BONOS DE DESARROLLO DEL GOBIERNO FEDERAL,Mexico,,SSA - Sovereigns,Sustainability,3,1.48bn,,,
BONOS DE LA TESORERIA DE LA REPUBLICA EN PESOS,Chile,,SSA - Sovereigns,Social,4,5.38bn,,Vigeo Eiris,Nov-20
BONOS DE LA TESORERIA DE LA REPUBLICA EN PESOS,Chile,,SSA - Sovereigns,Sustainability,1,1.01bn,,Vigeo Eiris,Nov-20
BPCE,France,,Financials - Banking,Green,3,1.51bn,,Vigeo Eiris,Jul-20
BPCE,France,,Financials - Banking,Social,10,4.43bn,,Vigeo Eiris,Jul-20
BPCE HOME LOANS FCT 2021 GREEN UOP,France,,Financials - Consumer Finance,Green,1,1.70bn,,Vigeo Eiris,Apr-20
BPCE SFH SA,France,,Financials - Consumer Finance,Green,3,4.26bn,,Vigeo Eiris,May-20
BPER BANCA SPA,Italy,,Financials - Banking,Social,1,0.59bn,,ISS-Oekom,Mar-21
BPIFRANCE SACA,France,,SSA - Agencies,Green,2,2.83bn,,Cicero,Apr-21
BPIFRANCE SACA,France,,SSA - Agencies,Social,1,1.63bn,,,
BRAGE FINANS AS,Norway,,Financials - Consumer Finance,Green,4,0.35bn,,Cicero,Jan-23
BRAMBLES FINANCE PLC,United Kingdom,,Corporate - Industrials,Green,1,0.54bn,,ISS-Oekom,Mar-23
BRASKEM IDESA SAPI,Mexico,,Corporate - Materials,Sustainability Linked Bonds,2,1.20bn,Sep-21,Sustainalytics,Sep-21
BRFKREDIT A/S,Denmark,,Financials - Consumer Finance,Green,3,0.41bn,Jan-21,Sustainalytics,Jan-21
BRIDGE HOUSING CORP,United States,,Financials - Real estate,Sustainability,1,0.10bn,,,
BRIGHTE GREEN TRUST 2020-1,Australia,,Financials - Specialty finance,Green,6,0.13bn,,DNV GL,Aug-20
BRIM,Iceland,,Corporate - Consumer Staples,Green,1,0.04bn,Jun-21,Sustainalytics,Jun-21
BRITISH AIRWAYS 2021-1 CLASS A PASS THROUGH TRUST,United Kingdom,,Corporate - Consumer Discretionary,Sustainability Linked Bonds,4,0.55bn,,,
BRK AMBIENTAL PARTICIPACOES SA,Brazil,,Corporate - Utilities,Sustainability,1,0.31bn,Mar-22,Moody's,Apr-22
BROOKFIELD BRP HOLDINGS (CANADA) INC.,Canada,,Corporate - Utilities,Green,1,0.01bn,,,
BROOKFIELD FINANCE I UK PLC,United States,,Financials - Financial services,Green,2,0.80bn,,,
BROOKFIELD FINANCE INC,Canada,,Financials - Financial services,Green,2,0.90bn,Feb-20,Sustainalytics,Feb-20
BROOKFIELD PROPERTY PARTNERS LP,Bermuda,,Financials - Real estate,Green,2,0.50bn,,,
BROOKFIELD RENEWABLE PARTNERS ULC,Canada,,Corporate - Utilities,Green,7,2.06bn,Feb-20,Sustainalytics,Feb-20
BRUCE POWER LP,Canada,,Corporate - Utilities,Green,1,0.40bn,,Cicero,Jul-21
BTS GROUP HOLDINGS PCL,Thailand,,Corporate - Consumer Discretionary,Green,7,0.60bn,Oct-20,Climate Bonds Initiative Certified,Oct-20
BTS GROUP HOLDINGS PCL,Thailand,,Corporate - Consumer Discretionary,Sustainability Linked Bonds,4,0.32bn,,DNV GL,Mar-22
BULK INFRASTRUCTURE HOLDING AS,Norway,,Financials - Real estate,Green,1,0.05bn,,Cicero,Jun-22
BUNDESREPUBLIK DEUTSCHLAND,Germany,,SSA - Sovereigns,Green,5,43.86bn,,ISS-Oekom,Sep-20
BURBERRY GROUP PLC,United Kingdom,,Corporate - Consumer Discretionary,Sustainability,1,0.39bn,Aug-20,Sustainalytics,Aug-20
BUSAN BANK CO LTD,China (mainland),,Financials - Banking,Social,3,0.02bn,Apr-22,DNV GL,Apr-22
BUSAN PORT AUTHORITY,Korea,,SSA - Agencies,Social,4,0.15bn,Oct-21,Moody's,Oct-21
BUSH FOUNDATION,United States,,Corporate - Consumer Discretionary,Social,1,0.10bn,Oct-20,Sustainalytics,Oct-20
BUSTADKREDITT SOGN OG FJORDANE AS,Norway,,Financials - Consumer Finance,Green,2,0.21bn,Nov-19,Sustainalytics,Nov-19
CA FASTIGHETER AB,Sweden,,Financials - Real estate,Green,1,0.06bn,,Cicero,Jun-21
CA IMMOBILIEN ANLAGEN AKTIENGESELLSCHAFT,Austria,,Financials - Real estate,Green,1,0.41bn,Oct-20,Sustainalytics,Oct-20
CABLE & WIRELESS OPTUS FINANCE PTY LIMITED,Australia,,Corporate - Communications,Sustainability Linked Bonds,1,0.22bn,Oct-21,Sustainalytics,Oct-21
CABONLINE GROUP HOLDING AB,Sweden,,Corporate - Technology,Sustainability Linked Bonds,1,0.17bn,,Other,Mar-22
CADENT FINANCE PLC,United Kingdom,,Corporate - Utilities,Green,1,0.36bn,,ISS-Oekom,Mar-23
CAGAMAS BHD,Malaysia,,Financials - Consumer Finance,Sustainability,15,0.86bn,Sep-20,Other,Sep-20
CAISSE D'AMORTISSEMENT DE LA DETTE SOCIALE,France,,SSA - Agencies,Social,40,123.79bn,,Vigeo Eiris,Sep-20
CAISSE DES DEPOTS ET CONSIGNATIONS,France,,SSA - Agencies,Sustainability,4,2.25bn,,Moody's,Apr-22
CAISSE FRANCAISE DE FINANCEMENT LOCAL,France,,SSA - Agencies,Green,2,1.58bn,Oct-22,Sustainalytics,Oct-22
CAISSE FRANCAISE DE FINANCEMENT LOCAL,France,,SSA - Agencies,Social,6,3.67bn,May-22,Sustainalytics,May-22
CAISSE NATIONALE DE REASSURANCE MUTUELLE AGRICOLE GROUPAMA,France,,Financials - Insurance,Green,1,0.59bn,Jun-21,Sustainalytics,Jun-21
CAIXA CENTRAL DE CREDITO AGRICOLA MUTUO CRL,Portugal,,Financials - Banking,Sustainability,1,0.35bn,,ISS-Oekom,Sep-21
CAIXA GERAL DE DEPOSITOS S.A.,Portugal,,Financials - Banking,Green,2,0.81bn,Jul-21,Sustainalytics,Jul-21
CAIXA GERAL DE DEPOSITOS S.A.,Portugal,,Financials - Banking,Sustainability,1,0.59bn,Jul-21,Sustainalytics,Jul-21
"CAIXABANK, S.A.",Spain,,Financials - Banking,Green,6,6.28bn,Nov-22,Sustainalytics,Nov-22
"CAIXABANK, S.A.",Spain,,Financials - Banking,Social,4,4.60bn,Aug-19,Sustainalytics,Aug-19
CAJA MUNICIPAL DE AHORRO Y CRÉDITO AREQUIPA,Peru,,Financials - Banking,Social,1,0.02bn,,Vigeo Eiris,Jul-20
CAJA RURAL DE NAVARRA SOCIEDAD COOPERATIVA DE CREDITO,Spain,,Financials - Banking,Green,2,1.11bn,Dec-21,Sustainalytics,Dec-21
CAJA RURAL DE NAVARRA SOCIEDAD COOPERATIVA DE CREDITO,Spain,,Financials - Banking,Sustainability,2,1.25bn,Mar-20,Sustainalytics,Mar-20
CALIFORNIA ENDOWMENT/THE,United States,,Corporate - Consumer Discretionary,Social,1,0.30bn,Jan-21,Sustainalytics,Jan-21
"CAMPO CO., LTD.",Japan,,Corporate - Industrials,Green,1,0.01bn,,,
CANADIAN CORE REAL ESTATE LP,Canada,,Financials - Real estate,Green,1,0.20bn,Mar-19,Sustainalytics,Mar-19
CANADIAN IMPERIAL BANK OF COMMERCE,Canada,,Financials - Banking,Green,1,0.50bn,Mar-20,Sustainalytics,Mar-20
CANADIAN SOLAR EMEA CAPITAL MARKETS SA,Spain,,Corporate - Energy,Green,1,0.03bn,,Japan Credit Rating Agency,May-20
CANADIAN SOLAR INFRASTRUCTURE FUND INC,Canada,,Financials - Real estate,Green,1,0.04bn,Jan-21,Japan Credit Rating Agency,Jul-21
CANARY WHARF GROUP INVESTMENT HOLDINGS PLC,United Kingdom,,Financials - Real estate,Green,6,1.25bn,,ISS-Oekom,Mar-21
CANTON OF BASEL-CITY,Switzerland,,SSA - Quasi-sovereigns,Green,3,0.48bn,,ISS-Oekom,Dec-22
CANTON OF BASEL-CITY,Switzerland,,SSA - Quasi-sovereigns,Social,1,0.11bn,,ISS-Oekom,Jun-22
CANTON OF GENEVA SWITZERLAND,Switzerland,,SSA - Quasi-sovereigns,Green,5,1.29bn,Oct-19,Vigeo Eiris,Oct-19
CANTON OF GENEVA SWITZERLAND,Switzerland,,SSA - Quasi-sovereigns,Social,1,0.05bn,Nov-21,Sustainalytics,Nov-21
CAPITAL POWER CORP,Canada,,Corporate - Utilities,Green,1,0.27bn,Jul-22,Sustainalytics,Jul-22
CAPMAN OYJ,Finland,,Financials - Financial services,Sustainability Linked Bonds,1,0.04bn,,ISS-Oekom,Apr-22
CARE PROPERTY INVEST,Belgium,,Financials - Real estate,Sustainability,1,0.04bn,Nov-20,Sustainalytics,Nov-20
CARREFOUR S.A.,France,,Corporate - Consumer Staples,Sustainability Linked Bonds,3,2.15bn,,Moody's,May-22
CASSA DEPOSITI E PRESTITI S.P.A.,Italy,,SSA - Quasi-sovereigns,Green,1,0.55bn,,ISS-Oekom,Feb-23
CASSA DEPOSITI E PRESTITI S.P.A.,Italy,,SSA - Quasi-sovereigns,Social,5,3.71bn,,ISS-Oekom,Jun-21
CASSA DEPOSITI E PRESTITI S.P.A.,Italy,,SSA - Quasi-sovereigns,Sustainability,2,1.34bn,,ISS-Oekom,Jun-21
CASTLE PEAK POWER FINANCE CO LTD,Virgin Islands,,Corporate - Utilities,Green,2,0.37bn,,DNV GL,Jun-20
CATENA AB,Sweden,,Financials - Real estate,Green,2,0.17bn,Apr-21,Cicero,Apr-21
CBRE GLOBAL INVESTORS OPEN-ENDED FUND SCA SICAV-SIF PAN EUROPEAN CORE FUND,Luxembourg,,Financials - Funds & Trusts,Green,2,1.19bn,Oct-21,Sustainalytics,Oct-21
CCT MTN PTE LTD,Singapore,,Financials - Real estate,Sustainability,1,0.09bn,,,
CDP FINANCIAL INC.,Canada,,SSA - Quasi-sovereigns,Green,4,1.94bn,Apr-21,Sustainalytics,Apr-21
CELULOSA ARAUCO Y CONSTITUCION SA,Chile,,Corporate - Materials,Sustainability,4,1.00bn,Oct-19,Sustainalytics,Oct-19
CEMEX S.A. DE C.V.,Mexico,,Corporate - Materials,Green,2,1.00bn,Feb-23,Sustainalytics,Feb-23
CENTERPOINT ENERGY HOUSTON ELECTRIC LLC,United States,,Corporate - Utilities,Green,1,0.30bn,Feb-23,Sustainalytics,Feb-23
CENTRAL AMERICA BOTTLING CORPORATION (THE),Virgin Islands,,Corporate - Consumer Staples,Sustainability Linked Bonds,2,1.10bn,,Sustainalytics,Jan-22
CENTRAL AMERICAN BANK FOR ECONOMIC INTEGRATION,Supranationals,,SSA - Supranationals,Green,8,1.07bn,Dec-22,Sustainalytics,Dec-22
CENTRAL AMERICAN BANK FOR ECONOMIC INTEGRATION,Supranationals,,SSA - Supranationals,Social,11,2.37bn,Jan-21,Sustainalytics,Jan-21
CENTRAL CHINA REAL ESTATE LTD,China (mainland),,Financials - Real estate,Green,1,0.26bn,Dec-20,Sustainalytics,Dec-20
CENTRAL JAPAN INTERNATIONAL AIRPORT CO LTD,Japan,,Corporate - Industrials,Social,2,0.13bn,,Other,Feb-22
CENTRAL JAPAN RAILWAY COMPANY,Japan,,Corporate - Consumer Discretionary,Green,3,0.31bn,Jan-22,Other,Jan-22
CENTRAL NIPPON EXPRESSWAY CO LTD,Japan,,Corporate - Industrials,Green,3,0.73bn,Nov-20,Japan Credit Rating Agency,Nov-20
CENTRAL PATTANA PUBLIC COMPANY LIMITED,Thailand,,Financials - Real estate,Green,1,0.03bn,Jun-22,DNV GL,Jun-22
CENTURY HOUSING CORP,Canada,,Financials - Financial services,Sustainability,12,0.03bn,Jun-20,S&P,Jul-21
