symbol,date,price,yield_to_maturity,yield_to_worst,nav
SP_GB_INDEX,2021-11-17,149.06,1.24,1.15,
SP_GB_INDEX,2021-11-18,149.59,1.22,1.13,
SP_GB_INDEX,2021-11-19,149.77,1.19,1.1,
SP_GB_INDEX,2021-11-22,148.78,1.22,1.13,
SP_GB_INDEX,2021-11-23,148.21,1.26,1.17,
SP_GB_INDEX,2021-11-24,147.49,1.28,1.19,
SP_GB_INDEX,2021-11-25,147.8,1.28,1.19,
SP_GB_INDEX,2021-11-26,149.13,1.23,1.14,
SP_GB_INDEX,2021-11-29,148.65,1.24,1.15,
SP_GB_INDEX,2021-11-30,148.87,1.22,1.13,
SP_GB_INDEX,2021-12-01,149.57,1.24,1.15,
SP_GB_INDEX,2021-12-02,149.67,1.21,1.13,
SP_GB_INDEX,2021-12-03,149.4,1.2,1.11,
SP_GB_INDEX,2021-12-06,149.47,1.2,1.11,
SP_GB_INDEX,2021-12-07,149.35,1.21,1.12,
SP_GB_INDEX,2021-12-08,149.62,1.23,1.14,
SP_GB_INDEX,2021-12-09,149.5,1.2,1.11,
SP_GB_INDEX,2021-12-10,149.77,1.2,1.11,
SP_GB_INDEX,2021-12-13,149.77,1.18,1.09,
SP_GB_INDEX,2021-12-14,149.59,1.19,1.1,
SP_GB_INDEX,2021-12-15,149.28,1.2,1.11,
SP_GB_INDEX,2021-12-16,149.75,1.2,1.11,
SP_GB_INDEX,2021-12-17,149.61,1.19,1.1,
SP_GB_INDEX,2021-12-20,149.53,1.19,1.1,
SP_GB_INDEX,2021-12-21,148.69,1.24,1.15,
SP_GB_INDEX,2021-12-22,149.21,1.25,1.16,
SP_GB_INDEX,2021-12-23,148.77,1.28,1.18,
SP_GB_INDEX,2021-12-24,148.92,1.29,1.2,
SP_GB_INDEX,2021-12-27,148.85,1.28,1.19,
SP_GB_INDEX,2021-12-28,148.74,1.29,1.19,
SP_GB_INDEX,2021-12-29,148.71,1.33,1.23,
SP_GB_INDEX,2021-12-30,148.61,1.33,1.23,
SP_GB_INDEX,2021-12-31,148.98,1.32,1.23,
SP_GB_INDEX,2022-01-03,147.87,1.33,1.24,
SP_GB_INDEX,2022-01-04,148.03,1.35,1.25,
SP_GB_INDEX,2022-01-05,148.16,1.35,1.26,
SP_GB_INDEX,2022-01-06,147.36,1.39,1.29,
SP_GB_INDEX,2022-01-07,147.59,1.4,1.31,
SP_GB_INDEX,2022-01-10,147.29,1.41,1.32,
SP_GB_INDEX,2022-01-11,147.47,1.42,1.33,
SP_GB_INDEX,2022-01-12,148.42,1.41,1.32,
SP_GB_INDEX,2022-01-13,149.06,1.39,1.31,
SP_GB_INDEX,2022-01-14,148.25,1.43,1.35,
SP_GB_INDEX,2022-01-17,147.75,1.45,1.37,
SP_GB_INDEX,2022-01-18,146.96,1.49,1.4,
SP_GB_INDEX,2022-01-19,146.9,1.49,1.41,
SP_GB_INDEX,2022-01-20,147.23,1.48,1.39,
SP_GB_INDEX,2022-01-21,147.39,1.45,1.37,
SP_GB_INDEX,2022-01-24,146.99,1.44,1.36,
SP_GB_INDEX,2022-01-25,146.59,1.46,1.38,
SP_GB_INDEX,2022-01-26,146.36,1.48,1.4,
SP_GB_INDEX,2022-01-27,145.15,1.5,1.43,
SP_GB_INDEX,2022-01-28,144.99,1.53,1.45,
SP_GB_INDEX,2022-01-31,144.98,1.56,1.49,
SP_GB_INDEX,2022-02-01,145.26,1.59,1.52,
SP_GB_INDEX,2022-02-02,145.79,1.58,1.51,
SP_GB_INDEX,2022-02-03,145.81,1.66,1.59,
SP_GB_INDEX,2022-02-04,145.08,1.74,1.68,
SP_GB_INDEX,2022-02-07,144.79,1.77,1.71,
SP_GB_INDEX,2022-02-08,144.13,1.8,1.74,
SP_GB_INDEX,2022-02-09,144.64,1.77,1.71,
SP_GB_INDEX,2022-02-10,144.15,1.84,1.78,
SP_GB_INDEX,2022-02-11,143.58,1.86,1.8,
SP_GB_INDEX,2022-02-14,142.54,1.87,1.82,
SP_GB_INDEX,2022-02-15,142.54,1.88,1.83,
SP_GB_INDEX,2022-02-16,142.96,1.85,1.8,
SP_GB_INDEX,2022-02-17,143.34,1.82,1.77,
SP_GB_INDEX,2022-02-18,143.26,1.79,1.74,
SP_GB_INDEX,2022-02-21,143.1,1.81,1.75,
SP_GB_INDEX,2022-02-22,142.77,1.86,1.8,
SP_GB_INDEX,2022-02-23,142.6,1.86,1.81,
SP_GB_INDEX,2022-02-24,140.78,1.87,1.82,
SP_GB_INDEX,2022-02-25,141.8,1.88,1.83,
SP_GB_INDEX,2022-02-28,142.18,1.86,1.81,
SP_GB_INDEX,2022-03-01,142.89,1.76,1.7,
SP_GB_INDEX,2022-03-02,141.49,1.83,1.77,
SP_GB_INDEX,2022-03-03,141.34,1.86,1.81,
SP_GB_INDEX,2022-03-04,140.87,1.79,1.74,
SP_GB_INDEX,2022-03-07,139.74,1.86,1.81,
SP_GB_INDEX,2022-03-08,138.8,1.95,1.9,
SP_GB_INDEX,2022-03-09,139.39,2.02,1.97,
SP_GB_INDEX,2022-03-10,138.66,2.07,2.02,
SP_GB_INDEX,2022-03-11,138.07,2.1,2.06,
SP_GB_INDEX,2022-03-14,137.26,2.17,2.12,
SP_GB_INDEX,2022-03-15,137.24,2.17,2.13,
SP_GB_INDEX,2022-03-16,137.41,2.18,2.14,
SP_GB_INDEX,2022-03-17,138.56,2.16,2.12,
SP_GB_INDEX,2022-03-18,138.45,2.14,2.1,
SP_GB_INDEX,2022-03-21,137.78,2.2,2.16,
SP_GB_INDEX,2022-03-22,137.11,2.26,2.22,
SP_GB_INDEX,2022-03-23,137.21,2.24,2.2,
SP_GB_INDEX,2022-03-24,136.98,2.27,2.23,
SP_GB_INDEX,2022-03-25,136.42,2.32,2.28,
SP_GB_INDEX,2022-03-28,136.12,2.34,2.3,
SP_GB_INDEX,2022-03-29,137.07,2.35,2.31,
SP_GB_INDEX,2022-03-30,137.74,2.34,2.3,
SP_GB_INDEX,2022-03-31,138.11,2.28,2.24,
SP_GB_INDEX,2022-04-01,137.1,2.28,2.24,
SP_GB_INDEX,2022-04-04,137.12,2.26,2.22,
SP_GB_INDEX,2022-04-05,135.98,2.34,2.3,
SP_GB_INDEX,2022-04-06,135.31,2.37,2.33,
SP_GB_INDEX,2022-04-07,134.93,2.4,2.36,
SP_GB_INDEX,2022-04-08,134.37,2.44,2.4,
SP_GB_INDEX,2022-04-11,133.84,2.5,2.46,
SP_GB_INDEX,2022-04-12,133.8,2.48,2.45,
SP_GB_INDEX,2022-04-13,133.67,2.47,2.43,
SP_GB_INDEX,2022-04-14,132.68,2.5,2.47,
SP_GB_INDEX,2022-04-15,132.7,2.51,2.47,
SP_GB_INDEX,2022-04-18,132.64,2.52,2.48,
SP_GB_INDEX,2022-04-19,131.91,2.57,2.54,
SP_GB_INDEX,2022-04-20,132.95,2.55,2.52,
SP_GB_INDEX,2022-04-21,132.23,2.61,2.58,
SP_GB_INDEX,2022-04-22,131.18,2.65,2.62,
SP_GB_INDEX,2022-04-25,130.99,2.6,2.57,
SP_GB_INDEX,2022-04-26,130.82,2.58,2.55,
SP_GB_INDEX,2022-04-27,129.52,2.6,2.58,
SP_GB_INDEX,2022-04-28,128.8,2.68,2.65,
SP_GB_INDEX,2022-04-29,128.74,2.72,2.7,
SP_GB_INDEX,2022-05-02,128.16,2.72,2.7,
SP_GB_INDEX,2022-05-03,128.27,2.74,2.71,
SP_GB_INDEX,2022-05-04,128.24,2.76,2.73,
SP_GB_INDEX,2022-05-05,127.66,2.78,2.76,
SP_GB_INDEX,2022-05-06,127.05,2.88,2.85,
SP_GB_INDEX,2022-05-09,126.54,2.87,2.84,
SP_GB_INDEX,2022-05-10,127.15,2.81,2.79,
SP_GB_INDEX,2022-05-11,127.35,2.81,2.78,
SP_GB_INDEX,2022-05-12,127.08,2.73,2.71,
SP_GB_INDEX,2022-05-13,126.57,2.77,2.75,
SP_GB_INDEX,2022-05-16,126.81,2.75,2.73,
SP_GB_INDEX,2022-05-17,127.24,2.83,2.81,
SP_GB_INDEX,2022-05-18,127.2,2.82,2.8,
SP_GB_INDEX,2022-05-19,128.06,2.8,2.78,
SP_GB_INDEX,2022-05-20,127.8,2.79,2.77,
SP_GB_INDEX,2022-05-23,128.38,2.83,2.81,
SP_GB_INDEX,2022-05-24,129.13,2.79,2.76,
SP_GB_INDEX,2022-05-25,128.96,2.77,2.74,
SP_GB_INDEX,2022-05-26,129.04,2.77,2.75,
SP_GB_INDEX,2022-05-27,129.43,2.75,2.73,
